Most serious offense,,All inmates/a,Male,Female,White/b,Black/b,Hispanic
,Totalc,"1,325,305","1,233,724","91,581","468,600","497,000","274,200"
Violent,,"704,800","670,900","34,000","223,900","282,100","162,300"
,Murderd,"165,600","155,300","10,300","45,100","68,300","39,000"
,Manslaughter,"18,000","15,700","2,300","6,800","3,800","3,100"
,Rape/sexual assault,"166,200","164,100","2,200","78,500","39,700","37,300"
,Robbery,"181,100","173,100","8,100","37,500","98,800","37,100"
,Aggravated or simple assault,"132,400","124,600","7,800","41,100","54,300","35,700"
,Other violent,"41,400","38,000","3,400","14,800","17,200","10,000"
Property,,"255,600","229,500","26,000","117,700","81,700","37,100"
,Burglary,"139,500","132,500","7,000","58,100","48,000","22,700"
,Larceny-theft,"50,200","41,900","8,200","26,500","17,400","5,900"
,Motor vehicle theft,"10,700","10,000",700,"4,900","2,500","2,600"
,Fraud,"27,300","19,900","7,300","14,400","7,600","2,500"
,Other property,"28,000","25,200","2,800","13,800","6,300","3,400"
Drug,,"208,000","186,000","22,000","67,800","79,900","39,900"
,Drug possession,"47,400","41,700","5,700","17,700","18,800","11,400"
,Other drug/e,"160,500","144,300","16,300","50,000","61,100","28,400"
Public order,,"146,300","137,900","8,400","56,000","51,100","33,400"
,Weapons,"51,000","49,400","1,600","11,200","24,400","13,900"
,Driving under the influence,"25,500","23,300","2,200","13,500","3,400","6,700"
,Other public order/f,"69,900","65,200","4,600","31,300","23,300","12,900"
Other/unspecified/g,,"10,600","9,400","1,200","3,300","2,100","1,400"
